X,Y,OBJECTID,CARPARK_ID,CARPARK_NAME,URL,MC_BAYS,CAR_BAYS,ACROD_BAYS,EditDate
115.877332098,-31.9534975289999,1,41,REGAL PLACE,https://www.cityofperthparking.com.au/regal-place,4,287,4,2023/08/08 15:31:52+00
115.862728143,-31.95367944,2,9,PIER STREET,https://www.cityofperthparking.com.au/pier-street,23,711,8,2023/08/08 15:31:52+00
115.864977243,-31.9555137909999,3,10,FIRE STATION,https://www.cityofperthparking.com.au/fire-station,10,158,3,2023/08/08 15:31:52+00
115.851983723,-31.956561796,4,46,CONVENTION CENTRE,https://www.cityofperthparking.com.au/convention-centre,84,1462,23,2023/08/08 15:31:52+00
115.862387233,-31.9530734489999,5,43,THE GARAGE,https://www.cityofperthparking.com.au/garage,5,41,0,2023/08/08 15:31:52+00
115.860801371,-31.9506894199999,6,6,CULTURAL CENTRE,https://www.cityofperthparking.com.au/cultural-centre,12,313,5,2023/08/08 15:31:52+00
115.878152378,-31.9640487569999,7,4,POINT FRASER,https://www.cityofperthparking.com.au/point-fraser,9,264,5,2023/08/08 15:31:52+00
115.880525675,-31.9530827,8,41,VICTORIA GARDENS,https://www.cityofperthparking.com.au/victoria-gardens,0,14,1,2023/08/08 15:31:52+00
115.866605391,-31.949376115,9,26,NEWCASTLE STREET,https://www.cityofperthparking.com.au/newcastle-street,4,136,2,2023/08/08 15:31:52+00
115.841086713,-31.947620972,10,27,MAYFAIR STREET,https://www.cityofperthparking.com.au/mayfair-street,18,439,4,2023/08/08 15:31:52+00
115.87065777,-31.957104307,11,13,GODERICH STREET,https://www.cityofperthparking.com.au/goderich-street,9,174,2,2023/08/08 15:31:52+00
115.841381627,-31.964455969,12,44,MOUNTS BAY ROAD,https://www.cityofperthparking.com.au/mounts-bay-road,2,10,1,2023/08/08 15:31:52+00
115.854471212,-31.9472554779999,13,12,JAMES STREET,https://www.cityofperthparking.com.au/james-street,5,54,1,2023/08/08 15:31:52+00
115.870930052,-31.957741234,14,21,HAY STREET EAST,https://www.cityofperthparking.com.au/hay-street-east,0,25,2,2023/08/08 15:31:52+00
115.860083731,-31.948934686,15,11,STATE LIBRARY,https://www.cityofperthparking.com.au/state-library,14,608,7,2023/08/08 15:31:52+00
115.847749164,-31.9485227399999,16,24,COOLGARDIE STREET,https://www.cityofperthparking.com.au/coolgardie-street,0,41,2,2023/08/08 15:31:52+00
115.850769911,-31.949687534,17,47,ELDER STREET,https://www.cityofperthparking.com.au/elder-street,67,1039,11,2023/08/08 15:31:52+00
115.854356589,-31.952034376,18,5,HIS MAJESTY'S,https://www.cityofperthparking.com.au/his-majestys,20,646,6,2023/08/08 15:31:52+00
115.846442763,-31.960175271,19,44,JOHN OLDHAM PARK,https://www.cityofperthparking.com.au/john-oldham-park,0,23,2,2023/08/08 15:31:52+00
115.883838907,-31.9646579,20,4,HEIRISSON ISLAND,https://www.cityofperthparking.com.au/heirisson-island,0,18,1,2023/08/08 15:31:52+00
115.819990969,-31.9870283509999,21,44,JH ABRAHAMS RESERVE,https://www.cityofperthparking.com.au/jh-abrahams-reserve,5,78,1,2023/08/08 15:31:52+00
115.856952676,-31.94861729,22,8,ROE STREET,https://www.cityofperthparking.com.au/roe-street,27,466,5,2023/08/08 15:31:52+00
115.861153313,-31.9514815809999,23,16,CITIPLACE,https://www.cityofperthparking.com.au/citiplace,5,478,5,2023/08/08 15:31:52+00
115.869400817,-31.951436687,24,4B,ROYAL STREET,https://www.cityofperthparking.com.au/royal-street,7,735,7,2023/08/08 15:31:52+00
115.86293675,-31.959308871,25,1,TERRACE ROAD,https://www.cityofperthparking.com.au/terrace-road,28,763,8,2023/08/08 15:31:52+00
115.874943036,-31.9620966369999,26,22,PLAIN STREET,https://www.cityofperthparking.com.au/plain-street,7,155,1,2023/08/08 15:31:52+00
115.857187857,-31.946061185,27,15,ABERDEEN STREET,https://www.cityofperthparking.com.au/aberdeen-street,0,84,1,2023/08/08 15:31:52+00
115.860674561,-31.956947643,28,38,COUNCIL HOUSE,https://www.cityofperthparking.com.au/council-house,5,89,2,2023/08/08 15:31:52+00
115.881540642,-31.950748255,29,41,MARDALUP PARK,https://www.cityofperthparking.com.au/mardalup-park,0,11,0,2023/08/08 15:31:52+00
115.863570611,-31.9585816429999,30,7,CONCERT HALL,https://www.cityofperthparking.com.au/concert-hall,12,397,5,2023/08/08 15:31:52+00
115.842655652,-31.9458681419999,31,17,WELLINGTON STREET,https://www.cityofperthparking.com.au/wellington-street,2,68,1,2023/08/08 15:31:52+00
115.877744212,-31.9581716229999,32,4A,QUEENS GARDENS,https://www.cityofperthparking.com.au/queens-gardens,12,863,8,2023/08/08 15:31:52+00
115.874204964,-31.9519606439999,33,35,SAUNDERS STREET,https://www.cityofperthparking.com.au/saunders-street,0,57,1,2023/08/08 15:31:52+00
